basis,R,N,procedure,basis_dim,gs_total,gs_err,delta_sc,s_min,eff_dim,delta_int,E_exact_tot,E_exact_sum,delta_exact,joint_dim,E_a,E_b,E_dimer
sto-3g,1.1,2,novel,4,-1.6259402509562575,0.0015756239987680942,0.6486718205505397,7.463510037491914e-05,4,,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,
sto-3g,1.1,2,baseline_separate,2,-1.6086978069129847,0.018818068042040892,0.6659142645938125,0.009745137886081555,2,0.6659142645938134,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,-1.137306035753399,-1.137306035753399,
sto-3g,1.1,2,baseline_dimer,2,-1.6086978069129847,0.018818068042040892,0.0005170457745915513,0.009745137886081555,2,0.665397218819221,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,-2.2740950257322057
sto-3g,1.1,3,novel,9,-1.6273200751751622,0.0001957997798633926,0.647291996331635,2.451550405043763e-07,9,,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,
sto-3g,1.1,3,baseline_separate,3,-1.6209267251409125,0.006589149814113071,0.6536853463658847,0.002554270422023924,3,0.6536853463658838,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,-1.1373060357533982,-1.1373060357533982,
sto-3g,1.1,3,baseline_dimer,3,-1.6209267251409125,0.006589149814113071,2.6645352591003757e-15,0.002554270422023924,3,0.6536853463658874,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,-2.2746120715068
sto-3g,1.1,4,novel,16,-1.627482537708068,3.3337246957643174e-05,0.6471295337987293,4.348112630296895e-09,16,,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,
sto-3g,1.1,4,baseline_separate,4,-1.6260825045527811,0.0014333704022444493,0.6485295669540161,0.0009492242679545436,4,0.6485295669540161,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,-1.1373060357533986,-1.1373060357533986,
sto-3g,1.1,4,baseline_dimer,4,-1.6260825045527811,0.0014333704022444493,0.0,0.0009492242679545436,4,0.6485295669540161,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,-2.2746120715067972
sto-3g,1.1,5,novel,25,-1.6275117034288042,4.171526221341537e-06,0.647100368077993,1.005475107112697e-12,22,,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,
sto-3g,1.1,5,baseline_separate,5,-1.6269687532404555,0.0005471217145700535,0.6476433182663417,0.0002084912005804088,5,0.6476433182663408,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,-1.1373060357533982,-1.1373060357533982,
sto-3g,1.1,5,baseline_dimer,5,-1.6269687532404555,0.0005471217145700535,0.0,0.0002084912005804088,5,0.6476433182663417,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,-2.2746120715067972
sto-3g,1.1,6,novel,36,-1.6275149918810614,8.830739641751961e-07,0.6470970796257358,-3.553895574669095e-15,25,,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,
sto-3g,1.1,6,baseline_separate,6,-1.6273766302277526,0.0001392447272730024,0.6472354412790446,5.904849362576498e-05,6,0.6472354412790438,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,-1.1373060357533982,-1.1373060357533982,
sto-3g,1.1,6,baseline_dimer,6,-1.6273766302277526,0.0001392447272730024,8.881784197001252e-16,5.904849362576498e-05,6,0.6472354412790455,-1.6275158749550256,-2.2746120715067972,0.6470961965517716,64,,,-2.274612071506798
sto-3g,10.0,2,novel,4,-2.272152344674185,0.002459603187524362,0.002459726832612308,1.3489526614089882e-06,4,,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,,,
sto-3g,10.0,2,baseline_separate,2,-2.2741099007811387,0.0005020470805705557,0.0005021707256585017,0.018139482179549193,2,0.0005021707256593899,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,-1.137306035753399,-1.137306035753399,
sto-3g,10.0,2,baseline_dimer,2,-2.2741099007811387,0.0005020470805705557,0.0005170457745915513,0.018139482179549193,2,1.4875048933049584e-05,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,,,-2.2740950257322057
sto-3g,10.0,3,novel,9,-2.274611941178271,6.683438247279128e-09,1.3032852619332402e-07,3.6699708272889673e-13,8,,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,,,
sto-3g,10.0,3,baseline_separate,3,-2.274611940863956,6.997753487780756e-09,1.3064284143382565e-07,0.00018735405041653882,3,1.3064284054564723e-07,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,-1.1373060357533982,-1.1373060357533982,
sto-3g,10.0,3,baseline_dimer,3,-2.274611940863956,6.997753487780756e-09,2.6645352591003757e-15,0.00018735405041653882,3,1.306428440983609e-07,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,,,-2.2746120715068
sto-3g,10.0,4,novel,16,-2.274611947480034,3.816751359408954e-10,1.240267630819858e-07,3.2082351095165702e-15,10,,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,,,
sto-3g,10.0,4,baseline_separate,4,-2.2746119478609557,7.536193891155563e-13,1.23645841565434e-07,5.73278317698609e-09,4,1.23645841565434e-07,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,-1.1373060357533986,-1.1373060357533986,
sto-3g,10.0,4,baseline_dimer,4,-2.2746119478609557,7.536193891155563e-13,0.0,5.73278317698609e-09,4,1.23645841565434e-07,-2.2746119478617093,-2.2746120715067972,1.236450879460449e-07,64,,,-2.2746120715067972
