system,basis,label,N,variant,raw_dim,eff_dim,gs_total,E_exact,E_mono_sum_ref,delta_vs_mono,delta_vs_dimer1000,abs_vs_mono,abs_vs_dimer1000,dropped
H2+H2,sto-3g,STO-3G,1,cross_product,1,1,-2.233368774170681,-2.2745403493218053,-2.233368774170681,0.0,0.04117157515112435,0.0,0.04117157515112435,0
H2+H2,sto-3g,STO-3G,1,joint,1,1,-2.233368774170681,-2.2745403493218053,-2.233368774170681,0.0,0.04117157515112435,0.0,0.04117157515112435,0
H2+H2,sto-3g,STO-3G,1,cp_lanczos,1,1,-2.233368774170681,-2.2745403493218053,-2.233368774170681,0.0,0.04117157515112435,0.0,0.04117157515112435,0
H2+H2,sto-3g,STO-3G,2,cross_product,4,4,-2.274540349321806,-2.2745403493218053,-2.2745403493218053,-8.881784197001252e-16,-8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,0
H2+H2,sto-3g,STO-3G,2,joint,2,2,-2.2740080022264526,-2.2745403493218053,-2.2745403493218053,0.0005323470953526588,0.0005323470953526588,0.0005323470953526588,0.0005323470953526588,0
H2+H2,sto-3g,STO-3G,2,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H2,sto-3g,STO-3G,3,cross_product,9,4,-2.2745403493218044,-2.2745403493218053,-2.2745403493218044,0.0,8.881784197001252e-16,0.0,8.881784197001252e-16,5
H2+H2,sto-3g,STO-3G,3,joint,3,3,-2.274540349321805,-2.2745403493218053,-2.2745403493218044,-4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0
H2+H2,sto-3g,STO-3G,3,cp_lanczos,4,4,-2.2745403493218053,-2.2745403493218053,-2.2745403493218053,0.0,0.0,0.0,0.0,0
H2+H2,sto-3g,STO-3G,4,cross_product,16,4,-2.2745403493218044,-2.2745403493218053,-2.2745403493218035,-8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,12
H2+H2,sto-3g,STO-3G,4,joint,4,3,-2.2745403493218053,-2.2745403493218053,-2.2745403493218035,-1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0,1
